CC,CCC,CCCC,CCCC_abs,CCC_abs,CC_abs,CH,CH_abs,HCC,HCCC,HCCC_abs,HCC_abs,HOC,HOCC,HOCC_abs,HOC_abs,OC,OCC,OCCC,OCCC_abs,OCC_abs,OCO,OCOC,OCOC_abs,OCO_abs,OC_abs,OH,OH_abs,sf,sigma,intensity,structure,freq
1.0,-22.0,0.0,0.0,48.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,24.0,-1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.024040845805362185,51.954594195094415,0.9436,3_hydroxy_benzoic_acid,496.672078056
0.0,0.0,-9.0,73.0,0.0,0.0,0.0,0.0,0.0,-7.0,15.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,-1.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.015040031403864612,24.636302512982496,11.1727,3_hydroxy_benzoic_acid,425.170796496
-20.0,-6.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,46.0,0.0,0.0,46.0,8.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0053277392604600595,15.90965586714539,5.093,3_hydroxy_benzoic_acid,399.418589544
23.0,19.0,0.0,0.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.0,0.0,0.0,41.0,-7.0,0.0,0.0,7.0,2.0,0.0,0.0,0.44216097135038346,78.94262134644711,9.6247,3_hydroxy_benzoic_acid,350.987605128
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,95.0,95.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005868934436281304,10.023003086915256,115.4182,3_hydroxy_benzoic_acid,340.641697584
0.0,0.0,40.0,64.0,0.0,0.0,0.0,0.0,0.0,-2.0,4.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619792144359959,39.049071057738345,1.3318,3_hydroxy_benzoic_acid,228.520249224
1.0,51.0,0.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.023020693403836157,43.457067766614315,2.7936,3_hydroxy_benzoic_acid,183.7695498
0.0,0.0,-69.0,85.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-3.0,3.0,0.0,0.0,-8.0,8.0,0.0,0.0,0.0,0.0,0.9817467235614643,34.77334679408861,0.0047,3_hydroxy_benzoic_acid,151.929211824
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.793199812364877,42.01934255424844,1.4479,3_hydroxy_benzoic_acid,61.135798032
0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,inf,79.98619773799122,0.0,quinone,3079.036696
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.149788798625427,54.44512836191662,4.4585,quinone,3076.872972
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,inf,12.72488780097471,0.0,quinone,3061.7556259999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0013225720269464524,11.96071697481081,1.597,quinone,3061.468406
9.0,-4.0,0.0,0.0,10.0,23.0,0.0,0.0,-3.0,0.0,0.0,9.0,,,,,62.0,0.0,0.0,0.0,0.0,,,,,62.0,,,inf,46.77587837444916,0.0,quinone,1700.5559420880002
0.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,-2.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,88.0,,,0.014196021572901353,36.9270688439298,447.6792,quinone,1698.520039752
-60.0,-1.0,0.0,0.0,1.0,64.0,0.0,0.0,2.0,0.0,0.0,4.0,,,,,30.0,0.0,0.0,0.0,0.0,,,,,30.0,,,inf,55.427405167055014,0.0,quinone,1644.2456241119999
-1.0,-1.0,0.0,0.0,3.0,87.0,0.0,0.0,-4.0,0.0,0.0,8.0,,,,,0.0,-2.0,0.0,0.0,2.0,,,,,0.0,,,0.15418250104370973,50.5629902888386,16.9079,quinone,1613.6581491119998
-3.0,-6.0,0.0,0.0,18.0,29.0,0.0,0.0,23.0,0.0,0.0,51.0,,,,,0.0,0.0,0.0,0.0,2.0,,,,,0.0,,,inf,74.02732960974238,0.0,quinone,1368.89962116
0.0,-4.0,0.0,0.0,8.0,0.0,0.0,0.0,41.0,0.0,0.0,87.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,4.0,,,0.0040086735993373175,22.357977490099305,4.7543,quinone,1356.4003553759999
0.0,-6.0,0.0,0.0,10.0,44.0,0.0,0.0,-16.0,0.0,0.0,30.0,,,,,0.0,-16.0,0.0,0.0,16.0,,,,,0.0,,,0.02978601739372413,49.67870511996435,79.1325,quinone,1293.522294768
-2.0,-8.0,0.0,0.0,16.0,34.0,0.0,0.0,-20.0,0.0,0.0,36.0,,,,,0.0,0.0,0.0,0.0,14.0,,,,,0.0,,,inf,46.74816907074457,0.0,quinone,1211.587013736
-10.0,-1.0,0.0,0.0,1.0,14.0,0.0,0.0,-43.0,0.0,0.0,83.0,,,,,-2.0,0.0,0.0,0.0,0.0,,,,,2.0,,,inf,10.028571488598695,0.0,quinone,1143.87368508
-1.0,1.0,0.0,0.0,7.0,27.0,0.0,0.0,29.0,0.0,0.0,61.0,,,,,0.0,-6.0,0.0,0.0,6.0,,,,,0.0,,,0.024274533635865125,34.87756241777491,44.576,quinone,1063.0444471439998
0.0,0.0,-20.0,32.0,0.0,0.0,0.0,0.0,0.0,35.0,69.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,inf,79.93317463864604,0.0,quinone,995.14514664
0.0,0.0,-1.0,17.0,0.0,0.0,0.0,0.0,0.0,32.0,82.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,inf,50.55834033716568,0.0,quinone,995.017902744
0.0,34.0,0.0,0.0,84.0,4.0,0.0,0.0,4.0,0.0,0.0,8.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0,,,0.006524515367174307,68.68503903799515,19.3646,quinone,928.116977424
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,60.0,0.0,,,,,0.0,0.0,0.0,38.0,0.0,,,,,0.0,,,0.025279778903196007,39.483205949741674,82.8756,quinone,882.5147226959999
0.0,0.0,-17.0,25.0,0.0,0.0,0.0,0.0,0.0,-5.0,9.0,0.0,,,,,0.0,0.0,66.0,66.0,0.0,,,,,0.0,,,inf,65.83405939137978,0.0,quinone,767.691788544
79.0,4.0,0.0,0.0,20.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.0,0.0,0.0,0.0,,,,,2.0,,,inf,33.65908360668834,0.0,quinone,758.7064118879999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,101.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,inf,10.007421168879711,0.0,quinone,741.313150104
0.0,37.0,0.0,0.0,59.0,28.0,0.0,0.0,3.0,0.0,0.0,7.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,4.0,,,0.02803654170525348,10.853210885619362,0.4973,quinone,739.6589794559999
-3.0,-4.0,0.0,0.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,0.0,28.0,,,,,0.0,,,inf,79.99542360374703,0.0,quinone,588.8847506879999
0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,36.0,0.0,,,,,0.0,0.0,0.0,58.0,0.0,,,,,0.0,,,0.06451590900341893,42.77691695172968,4.287,quinone,502.701481128
0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,,,,,0.0,0.0,0.0,0.0,58.0,,,,,0.0,,,inf,48.692408426043535,0.0,quinone,446.391163152
16.0,21.0,0.0,0.0,75.0,16.0,0.0,0.0,-3.0,0.0,0.0,3.0,,,,,6.0,0.0,0.0,0.0,0.0,,,,,6.0,,,inf,69.8825023185079,0.0,quinone,444.58038463199995
0.0,-8.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,76.0,0.0,0.0,76.0,,,,,0.0,,,0.00709818410295547,26.959761172363002,25.2168,quinone,403.206542448
0.0,0.0,-35.0,71.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,inf,10.424649093782639,0.0,quinone,331.568229
0.0,0.0,48.0,70.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,,,,,0.0,0.0,24.0,24.0,0.0,,,,,0.0,,,inf,27.46975845766872,0.0,quinone,226.406042952
0.0,0.0,-28.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,0.0,0.0,0.0,12.0,0.0,,,,,0.0,,,0.0439157172903539,77.75953950328983,15.3832,quinone,92.281188576
0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0001581333279502468,35.68815730647003,2.0632,benzil,3088.505382
0.0,0.0,0.0,0.0,0.0,0.0,27.0,99.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.007023293609878004,22.089828224294152,4.1392,benzil,3088.438364
0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.00012267521415330684,14.554848141042187,0.1508,benzil,3080.329186
0.0,0.0,0.0,0.0,0.0,0.0,10.0,98.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0017703677237609716,12.005737735881764,17.5404,benzil,3080.19515
0.0,0.0,0.0,0.0,0.0,0.0,71.0,99.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.00034710613466783913,36.618072623287944,4.9214,benzil,3069.28079
0.0,0.0,0.0,0.0,0.0,0.0,36.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.006537144928330073,39.7663273135938,27.4661,benzil,3069.213772
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.06693349659435806,34.647339961644846,19.9132,benzil,3060.28123
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0007479027039607811,44.579162887871625,1.621,benzil,3060.2620819999997
0.0,0.0,0.0,0.0,0.0,0.0,8.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,3.1451631849676314e-05,37.89898641637325,0.2769,benzil,3049.07965
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.008778200961507138,49.01917532974388,0.4273,benzil,3049.070076
-2.0,3.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,85.0,0.0,0.0,0.0,0.0,,,,,85.0,,,0.00754461271323142,30.01060940898008,123.4677,benzil,1695.81855396
0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-3.0,0.0,0.0,0.0,0.0,,,,,91.0,,,0.01335801665560054,30.601299400808188,291.2412,benzil,1694.242687248
2.0,-1.0,0.0,0.0,15.0,64.0,0.0,0.0,-9.0,0.0,0.0,19.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0,,,0.020095161306316764,51.78398187325179,71.8869,benzil,1610.51620368
22.0,-6.0,0.0,0.0,14.0,66.0,0.0,0.0,-8.0,0.0,0.0,18.0,,,,,-2.0,0.0,0.0,0.0,0.0,,,,,2.0,,,2.697325727792784e-09,24.534108702187847,21.2213,benzil,1609.889772192
3.0,7.0,0.0,0.0,27.0,53.0,0.0,0.0,0.0,0.0,0.0,16.0,,,,,2.0,0.0,0.0,0.0,0.0,,,,,2.0,,,0.008965271987167905,41.31792290377715,5.2055,benzil,1590.372516144
